cay = c - 0.297479 a - 0.735506 y - 0.722305,,,,
date,c (pce),a,y,cay
197604,9.72355944,11.40952905,9.587157417,0.001408294
197701,9.73262754,11.40556869,9.586565515,0.012072654
197702,9.735713158,11.41586826,9.594924698,0.005957462
197703,9.742400569,11.41779612,9.606831893,0.003264976
197704,9.754505761,11.42316051,9.616162524,0.006893137
197801,9.757982888,11.42693955,9.620296001,0.006204809
197802,9.776579136,11.44051423,9.628105581,0.015049532
197803,9.777776151,11.45235083,9.634194326,0.008277356
197804,9.782856858,11.45373378,9.640686199,0.008147051
197901,9.785359739,11.47042408,9.644943214,0.002617748
197902,9.782152737,11.47485178,9.635713837,0.004949594
197903,9.788972331,11.48073255,9.640117933,0.006788815
197904,9.788520694,11.4845729,9.639517941,0.005658496
198001,9.784165891,11.4717565,9.637934781,0.006223403
198002,9.758647887,11.48378533,9.624687796,-0.013003656
198003,9.766354643,11.49838991,9.633818359,-0.016327634
198004,9.776836629,11.504318,9.639523629,-0.011803257
198101,9.779994914,11.49569926,9.631718192,-0.000345634
198102,9.777596891,11.50389778,9.628196452,-0.002533386
198103,9.778867574,11.49161215,9.636770401,-0.0040186
198104,9.768745881,11.49931867,9.637199893,-0.016711683
198201,9.77321688,11.4934292,9.634753392,-0.008707191
198202,9.774702379,11.49328839,9.635969632,-0.008081034
198203,9.779854582,11.49387528,9.641143552,-0.006931251
198204,9.795457428,11.50721991,9.642475875,0.003783152
198301,9.803099486,11.52529599,9.646205881,0.003378024
198302,9.820665296,11.53818756,9.653460536,0.011802923
198303,9.835551665,11.53364813,9.661253677,0.022246515
198304,9.848882885,11.53063013,9.676354022,0.025279776
198401,9.855387129,11.53603988,9.687260185,0.022127188
198402,9.867525927,11.54134337,9.696971421,0.025524961
198403,9.8727634,11.55554111,9.70404228,0.021375679
198404,9.883465802,11.56419089,9.712663625,0.023165562
198501,9.898492152,11.57812546,9.707528834,0.037919281
198502,9.905727834,11.59156888,9.72638435,0.02726331
198503,9.92214717,11.5933629,9.724666543,0.044429954
198504,9.922236523,11.62229723,9.733942817,0.029190658
198601,9.928685489,11.64421501,9.742511579,0.022886465
198602,9.93769714,11.66870931,9.753093313,0.016901162
198603,9.953156132,11.67078153,9.759475942,0.027028482
198604,9.957144992,11.69371097,9.764390712,0.020673822
198701,9.955358644,11.71782521,9.770857069,0.00704871
198702,9.967050734,11.72520751,9.76054294,0.024218879
198703,9.976076616,11.73648683,9.772650435,0.020982186
198704,9.975716728,11.71419649,9.781922878,0.020274612
198801,9.991317066,11.72860402,9.791814467,0.024338363
198802,9.996587332,11.74046871,9.802262799,0.018403349
198803,10.00247844,11.74177847,9.80498687,0.021894556
198804,10.01136159,11.75272106,9.811095412,0.023055268
198901,10.01394988,11.75993234,9.813628659,0.021659342
198902,10.01639009,11.76686668,9.808263833,0.026044111
198903,10.02356851,11.78495097,9.814218712,0.023525626
198904,10.02524058,11.7904414,9.821488035,0.018210023
199001,10.03150123,11.77557224,9.829374104,0.022979508
199002,10.03151717,11.77740754,9.834604933,0.018585859
199003,10.03201865,11.75117098,9.831027635,0.029407592
199004,10.02090169,11.75514161,9.822733903,0.023270365
199101,10.01434235,11.77142809,9.826333191,0.0092839
199102,10.01951567,11.76558915,9.832555889,0.011557195
199103,10.02081288,11.76662817,9.834488947,0.011119343
199104,10.01713484,11.78081042,9.842822086,-0.002875533
199201,10.03278902,11.7719253,9.864427019,-0.000619811
199202,10.0362671,11.76758824,9.871244797,-0.000921517
199203,10.04336706,11.77058367,9.872072543,0.004689708
199204,10.05174577,11.78384421,9.872230234,0.009074271
199301,10.05261699,11.78653357,9.872797262,0.008739293
199302,10.05849145,11.7886665,9.872071198,0.014527666
199303,10.06605349,11.79689866,9.872942169,0.019037745
199304,10.0716846,11.80408931,9.875448831,0.020710347
199401,10.08038761,11.80020227,9.876872389,0.029495916
199402,10.0851903,11.80109859,9.884112559,0.028675838
199403,10.08968563,11.80574604,9.884266374,0.03169837
199404,10.09734094,11.80671596,9.893047899,0.032568153
199501,10.09731493,11.81667999,9.899536171,0.02482468
199502,10.10336233,11.83112708,9.897842918,0.027901441
199503,10.10931167,11.84867231,9.901658688,0.025895318
199504,10.1132144,11.86293862,9.900361629,0.026586919
199601,10.11997468,11.8740203,9.906722574,0.025397217
199602,10.12792303,11.88121722,9.911798227,0.027483126
199603,10.1306864,11.88495565,9.91555364,0.026372836
199604,10.13531981,11.88428081,9.915782329,0.031034245
199701,10.14318998,11.88733694,9.923342073,0.032413501
199702,10.14485058,11.93015273,9.929182885,0.017230146
199703,10.15848751,11.95881305,9.937045963,0.016664897
199704,10.16720057,11.96438161,9.948577986,0.015211299
199801,10.17489915,12.01067838,9.964697618,-0.002562446
199802,10.1896516,12.02440353,9.974432092,0.000969271
199803,10.19958621,11.99369308,9.981947585,0.014319105
199804,10.21116157,12.0504603,9.990203773,0.003182739
199901,10.21813193,12.06001676,10.002763,-0.001940168
199902,10.23009206,12.0857988,10.00293842,0.00235139
199903,10.23821414,12.07264015,10.00780444,0.010718226
199904,10.24978992,12.13793507,10.01967878,-0.00559013
200001,10.26233635,12.15586538,10.03789937,-0.011777221
200002,10.2694255,12.1411612,10.04171757,-0.003215587
200003,10.27638592,12.14773204,10.05165522,-0.005534407
200004,10.28260121,12.11768423,10.05091583,0.010014337
200101,10.28454896,12.08514984,10.0603463,0.014492751
200102,10.28473835,12.10789631,10.05708895,0.010442836
200103,10.285774,12.07329499,10.07520235,0.008184617
200104,10.29837892,12.10484931,10.06688405,0.01772197
200201,10.29921187,12.11352288,10.088821,-0.000223531
200202,10.30208336,12.08176181,10.09407045,0.008048174
200203,10.3065171,12.04674202,10.09141888,0.02468496
200204,10.3094386,12.06471478,10.0928616,0.021283013
200301,10.31173936,12.0607247,10.09341416,0.024341364
200302,10.32059128,12.09879837,10.10663003,0.012275372
200303,10.33273612,12.11293395,10.12030164,0.010164378
200304,10.3380966,12.15330371,10.12158579,0.002769921
200401,10.34583312,12.18788839,10.12552281,-0.002521142
200402,10.35011615,12.20192406,10.13427002,-0.008818657
200403,10.35716068,12.2127213,10.14053595,-0.009570602
200404,10.36487772,12.24981801,10.13978247,-0.012142775
200501,10.37037041,12.25998507,10.13854939,-0.008709963
200502,10.37904708,12.27998022,10.14117637,-0.007824928
200503,10.3842374,12.29615348,10.14210609,-0.008052045
200504,10.38547638,12.31420811,10.14182096,-0.011881144
200601,10.39442552,12.33883094,10.15843367,-0.022431926
200602,10.39750165,12.3286481,10.15445909,-0.013435512
200603,10.40072798,12.32608682,10.15455071,-0.009528096
200604,10.40830205,12.35434555,10.1668038,-0.019289193
200701,10.41134149,12.35717121,10.18024207,-0.027025783
200702,10.41249627,12.35557721,10.17368934,-0.020553219
200703,10.41436733,12.34635039,10.17238575,-0.015019051
200704,10.41307703,12.3161929,10.17217842,-0.007337768
200801,10.40880402,12.26665422,10.17467028,0.001029373
200802,10.40829946,12.2309123,10.20401692,-0.010752729
200803,10.3986272,12.18263495,10.17119717,0.017991358
200804,10.38416647,12.12190803,10.18189753,0.013364579
200901,10.3787117,12.09823,10.18479535,0.01268771
200902,10.37212638,12.11062553,10.20254373,-0.010663132
200903,10.37587406,12.12699111,10.19200788,-0.003899921
